ના<=>ન,5,2,3,0.4,0.6
હાં<=>ફ,2,0,2,0.0,1.0
ફ<=>વું,4,4,0,1.0,0.0
હાં<=>ક,1,1,0,1.0,0.0
ક<=>વું,63,63,0,1.0,0.0
હિં<=>સા,1,1,0,1.0,0.0
હા<=>લ,9,2,7,0.2222222222222222,0.7777777777777778
હ<=>સ્,8,1,7,0.125,0.875
સ્<=>ત,26,20,5,0.7692307692307693,0.19230769230769232
ત<=>ક,17,4,13,0.23529411764705882,0.7647058823529411
ક<=>ળા,6,6,0,1.0,0.0
હિં<=>મ,1,1,0,1.0,0.0
મ<=>ત,24,2,22,0.08333333333333333,0.9166666666666666
હિ<=>ના,1,1,0,1.0,0.0
હી<=>રો,1,1,0,1.0,0.0
હા<=>ર,19,1,18,0.05263157894736842,0.9473684210526315
ર<=>વું,97,97,0,1.0,0.0
હા<=>થી,1,1,0,1.0,0.0
હ<=>ળ,6,0,6,0.0,1.0
ળ<=>વું,57,56,1,0.9824561403508771,0.017543859649122806
હા<=>સ્,2,0,2,0.0,1.0
સ્<=>યા,2,2,0,1.0,0.0
યા<=>સ્,2,0,2,0.0,1.0
સ્<=>પ,11,4,7,0.36363636363636365,0.6363636363636364
પ<=>દ,7,1,6,0.14285714285714285,0.8571428571428571
હા<=>ડ,4,0,4,0.0,1.0
ડ<=>કું,2,2,0,1.0,0.0
હ<=>વ,4,4,0,1.0,0.0
વ<=>ન,21,3,18,0.14285714285714285,0.8571428571428571
હા<=>હા,2,2,0,1.0,0.0
હા<=>ક,2,1,1,0.5,0.5
ક<=>ર,33,7,26,0.21212121212121213,0.7878787878787878
હ<=>રિ,3,3,0,1.0,0.0
હ<=>લ,7,2,5,0.2857142857142857,0.7142857142857143
લ<=>વો,1,1,0,1.0,0.0
હા<=>લ,9,2,7,0.2222222222222222,0.7777777777777778
લ<=>ચા,3,3,0,1.0,0.0
ચા<=>લ,9,2,7,0.2222222222222222,0.7777777777777778
હ<=>સ્,8,1,7,0.125,0.875
